produk_id_produk,produk_id_kategori,produk_kode_produk,produk_nama_produk,produk_merk,produk_harga_beli,produk_diskon,produk_harga_jual,produk_stok,produk_expired_date,produk_batch,produk_created_at,produk_updated_at,rekaman_id_rekaman_stok,rekaman_id_produk,rekaman_waktu,rekaman_stok_masuk,rekaman_stok_keluar,rekaman_created_at,rekaman_updated_at,rekaman_id_penjualan,rekaman_id_pembelian,rekaman_stok_awal,rekaman_stok_sisa,rekaman_keterangan
116,1,,BORAX,BORAX,3280,0,4000,22,2029-04-07,Z02042,2024-01-04 16:01:31,2025-12-31 19:44:33,175138,116,2025-12-31 19:44:33,1,0,2025-12-31 19:44:33,2025-12-31 19:44:33,,,21,22,Perubahan Stok Manual: SO
117,2,,FOLAMIL GENIO,,134448,0,160000,2,2027-05-09,56F4330,2024-01-04 16:01:31,2026-01-02 01:56:34,,,,,,,,,,,,
118,5,,BROADAMOX,BROADAMOX,540,0,750,70,2028-09-09,DI3221,2024-01-04 16:01:31,2026-01-02 23:54:35,,,,,,,,,,,,
119,1,,BRONCITIN,BRONCITIN,6801,0,9000,6,2028-09-11,5054042,2024-01-04 16:01:31,2025-12-31 19:16:12,175081,119,2025-12-31 19:16:12,0,6,2025-12-31 19:16:12,2025-12-31 19:16:12,,,12,6,Perubahan Stok Manual: SO
120,5,,BRONEX,BRONEX,189,0,300,50,2029-05-11,4050502,2024-01-04 16:01:31,2025-12-31 23:25:22,175518,120,2025-12-31 23:25:22,0,20,2025-12-31 23:25:22,2025-12-31 23:25:22,,,70,50,Perubahan Stok Manual: SO
121,5,,BUFACARYL,BUFACARYL,250,0,350,150,2029-09-13,A0309502,2024-01-04 16:01:31,2025-12-31 23:25:35,175519,121,2025-12-31 23:25:35,0,110,2025-12-31 23:25:35,2025-12-31 23:25:35,,,260,150,Perubahan Stok Manual: SO
122,6,,BUFACOMB IOB,BUFACOMB IOB,25308,0,30500,3,2029-08-01,H0208502,2024-01-04 16:01:31,2025-12-31 22:28:55,175429,122,2025-12-31 22:28:55,0,3,2025-12-31 22:28:55,2025-12-31 22:28:55,,,6,3,Perubahan Stok Manual: SO
123,6,,BUFACORT-N,BUFACORT-N,8123,0,9500,1,2027-07-01,I0307503,2024-01-04 16:01:31,2025-11-21 16:01:27,,,,,,,,,,,,
124,1,,BUFANTASID SYR,BUFANTASID SYR,7969,0,12500,2,,,2024-01-04 16:01:31,2025-12-31 19:03:15,175064,124,2025-12-31 19:03:15,2,0,2025-12-31 19:03:15,2025-12-31 19:03:15,,,0,2,Perubahan Stok Manual: SO
125,2,,BYE FEVER ANAK,BYE FEVER ANAK,9147,0,11000,7,2028-09-07,5A01,2024-01-04 16:01:31,2025-12-30 20:34:22,,,,,,,,,,,,
126,2,,BYE FEVER BABY,BYE FEVER BABY,6423,0,7500,11,2028-09-13,5A01,2024-01-04 16:01:31,2025-12-31 22:41:11,175453,126,2025-12-31 22:41:11,7,0,2025-12-31 22:41:11,2025-12-31 22:41:11,,,4,11,Perubahan Stok Manual: SO
127,5,,CROFED,CROFED,1569,0,1900,100,2028-08-01,25GA046,2024-01-04 16:01:31,2025-12-31 21:53:11,175371,127,2025-12-31 21:53:11,0,10,2025-12-31 21:53:11,2025-12-31 21:53:11,,,110,100,Perubahan Stok Manual: SO
129,1,,C.STATROL,C.STATROL,19000,0,23000,0,2025-11-01,,2024-01-04 16:01:31,2024-05-08 13:11:48,,,,,,,,,,,,
130,1,,CALADINE LOT 60mL,CALADINE LOT 60mL,15409,0,18000,3,2027-06-04,F25005,2024-01-04 16:01:31,2025-12-31 20:24:57,175235,130,2025-12-31 20:24:57,0,3,2025-12-31 20:24:57,2025-12-31 20:24:57,,,7,4,Perubahan Stok Manual: SO
131,1,,CALADINE LOT 90mL,CALADINE LOT 90mL,21690,0,25500,5,2027-05-06,E25005,2024-01-04 16:01:31,2025-12-31 20:24:46,175234,131,2025-12-31 20:24:46,0,3,2025-12-31 20:24:46,2025-12-31 20:24:46,,,8,5,Perubahan Stok Manual: SO
132,2,,CALADINE POW 100mg,CALADINE POW 100mg,15900,0,18500,4,2029-09-05,124009,2024-01-04 16:01:31,2025-09-28 17:46:52,,,,,,,,,,,,
133,2,,CALADINE POW 60mg,CALADINE POW 60mg,11325,0,13500,3,2029-09-05,124008,2024-01-04 16:01:31,2025-12-31 20:24:26,175233,133,2025-12-31 20:24:26,1,0,2025-12-31 20:24:26,2025-12-31 20:24:26,,,2,3,Perubahan Stok Manual: SO
134,2,,MILTON ALL,MITON ALL,6648,0,8000,4,2027-09-07,548803,2024-01-04 16:01:31,2025-12-31 22:40:14,175452,134,2025-12-31 22:40:14,4,0,2025-12-31 22:40:14,2025-12-31 22:40:14,,,2,6,Perubahan Stok Manual: SO
135,1,,CALLUSOL,CALLUSOL,29526,0,34500,4,2027-08-01,1EH174,2024-01-04 16:01:31,2026-01-02 00:30:07,,,,,,,,,,,,
136,5,,CALORTUSIN,CALORTUSIN,459,0,600,240,2028-10-15,T10115BE,2024-01-04 16:01:31,2025-12-31 21:53:49,175373,136,2025-12-31 21:53:49,0,30,2025-12-31 21:53:49,2025-12-31 21:53:49,,,270,240,Perubahan Stok Manual: SO
137,4,,B6 STRIP,,1100,0,2000,0,,,2024-01-04 16:01:31,2024-05-17 14:01:29,,,,,,,,,,,,
138,6,,CANESTEN,CANESTEN,20686,0,29000,4,2027-02-05,VA0292,2024-01-04 16:01:31,2026-01-01 00:42:40,,,,,,,,,,,,
139,5,,CAPTOPRIL 12.5mg,CAPTOPRIL 12.5mg,99,0,200,60,2027-04-06,,2024-01-04 16:01:31,2025-12-31 23:15:01,175488,139,2025-12-31 23:15:01,60,0,2025-12-31 23:15:01,2025-12-31 23:15:01,,,0,60,Perubahan Stok Manual: SO
140,5,,CAPTOPRIL 25mg,CAPTOPRIL 25mg,85,0,200,40,2027-11-06,,2024-01-04 16:01:31,2025-12-31 23:15:10,175489,140,2025-12-31 23:15:10,40,0,2025-12-31 23:15:10,2025-12-31 23:15:10,,,0,40,Perubahan Stok Manual: SO
141,5,,CAPTOPRIL 50mg,CAPTOPRIL 50mg,216,0,300,170,2028-11-08,5510501,2024-01-04 16:01:31,2025-11-09 02:39:30,,,,,,,,,,,,
142,5,,"CARBIDU 0,5","CARBIDU 0,5",143,0,250,130,2027-09-07,DI1193,2024-01-04 16:01:31,2025-12-20 22:47:11,,,,,,,,,,,,
143,5,,"CARBIDU 0,75","CARBIDU 0,75",168,0,250,210,2027-09-02,DI2511,2024-01-04 16:01:31,2025-12-31 23:26:18,175522,143,2025-12-31 23:26:18,0,10,2025-12-31 23:26:18,2025-12-31 23:26:18,,,220,210,Perubahan Stok Manual: SO
144,5,,CARGESIC 500mg,CARGESIC 500mg,324,0,500,20,2028-01-09,DA3601,2024-01-04 16:01:31,2025-12-31 23:26:37,175523,144,2025-12-31 23:26:37,0,20,2025-12-31 23:26:37,2025-12-31 23:26:37,,,40,20,Perubahan Stok Manual: SO
145,5,,CATAFLAM 50mg,CATAFLAM 50mg,6814,0,8500,43,2028-06-10,1D6689,2024-01-04 16:01:31,2025-12-31 23:26:51,175524,145,2025-12-31 23:26:51,0,6,2025-12-31 23:26:51,2025-12-31 23:26:51,,,51,45,Perubahan Stok Manual: SO
146,1,,CAVIPLEX SYR,CAVIPLEX SYR,9236,0,14000,1,2027-06-07,,2024-01-04 16:01:31,2025-12-31 18:41:08,175033,146,2025-12-31 18:41:08,1,0,2025-12-31 18:41:08,2025-12-31 18:41:08,,,0,1,Perubahan Stok Manual: SO
147,5,,CAVIPLEX TAB,CAVIPLEX TAB,641,0,900,160,2027-11-08,F1460272,2024-01-04 16:01:31,2025-12-31 23:25:50,175520,147,2025-12-31 23:25:50,0,10,2025-12-31 23:25:50,2025-12-31 23:25:50,,,180,170,Perubahan Stok Manual: SO
148,1,,CAZETIN,CAZETIN,19372,0,22500,2,2027-08-06,SE00L,2024-01-04 16:01:31,2025-12-31 22:29:59,175432,148,2025-12-31 22:29:59,0,2,2025-12-31 22:29:59,2025-12-31 22:29:59,,,4,2,Perubahan Stok Manual: SO
149,6,,CDR FORTOS,CDR FORTOS,47716,0,55000,4,2027-05-08,CM30133,2024-01-04 16:01:31,2025-12-31 18:37:58,175030,149,2025-12-31 18:37:58,0,1,2025-12-31 18:37:58,2025-12-31 18:37:58,,,5,4,Perubahan Stok Manual: SO
150,6,,CDR S'10,CDR S'10,37921,0,50000,12,2027-02-07,CM28418,2024-01-04 16:01:31,2025-12-31 18:40:00,175031,150,2025-12-31 18:38:25,12,0,2025-12-31 18:38:25,2025-12-31 18:38:25,,,0,12,Perubahan Stok Manual: SO
151,6,,CDR S'15,CDR S'15,65800,0,70000,3,2028-05-04,CM30617,2024-01-04 16:01:31,2025-12-31 18:40:28,175032,151,2025-12-31 18:40:28,0,3,2025-12-31 18:40:28,2025-12-31 18:40:28,,,6,3,Perubahan Stok Manual: SO
152,5,,CEFADROXIL 500mg,CEFADROXIL 500mg,775,0,1200,70,2027-04-06,C53974,2024-01-04 16:01:31,2025-12-31 23:35:13,175544,152,2025-12-31 23:35:13,0,270,2025-12-31 23:35:13,2025-12-31 23:35:13,,,340,70,Perubahan Stok Manual: SO
153,5,,ALLERON,ALLERON,600,0,200,110,,,2024-01-04 16:01:31,2025-12-31 23:23:34,175512,153,2025-12-31 23:23:34,110,0,2025-12-31 23:23:34,2025-12-31 23:23:34,,,0,110,Perubahan Stok Manual: SO
154,5,,CEFIXIM 100MG,CEFIXIM 100MG,700,0,1200,20,2027-04-08,56F0050,2024-01-04 16:01:31,2025-12-20 23:19:26,,,,,,,,,,,,
155,1,,CENDO CATARLENT 15ml,CENDO CATARLENT 15ml,30594,0,38000,2,2028-02-18,5CN0808,2024-01-04 16:01:31,2026-01-01 00:41:08,,,,,,,,,,,,
156,1,,CENDO CATARLENT 5ml,CENDO CATARLENT 5ml,22603,0,28000,3,2028-01-05,5CA0701,2024-01-04 16:01:31,2025-11-24 21:22:54,,,,,,,,,,,,
157,1,,CENDO XITROL,CENDO XITROL,30533,0,37000,5,2027-12-01,5X06132,2024-01-04 16:01:31,2025-12-31 23:02:33,175455,157,2025-12-31 23:02:33,2,0,2025-12-31 23:02:33,2025-12-31 23:02:33,,,3,5,Perubahan Stok Manual: SO
158,2,,DERMFIX 5X7,,1500,0,3000,0,2029-02-07,,2024-01-04 16:01:31,2025-01-14 18:01:04,,,,,,,,,,,,
159,1,,CEREBROFOT GOLD ALL VAR,CEREBROFOT GOLD ALL VAR,21731,0,25000,3,2027-06-03,53003,2024-01-04 16:01:31,2025-12-31 18:33:50,175022,159,2025-12-31 18:33:50,0,5,2025-12-31 18:33:50,2025-12-31 18:33:50,,,9,4,Perubahan Stok Manual: SO
160,4,,MIXADIN,MIXADIN,2786,0,3500,25,2027-06-09,E50211,2024-01-04 16:01:31,2025-11-14 23:54:41,,,,,,,,,,,,
161,5,,CETIRIZIN,CETIRIZIN,90,0,400,611,2027-09-01,2509011332,2024-01-04 16:01:31,2026-01-02 18:58:22,,,,,,,,,,,,
162,6,,CHLORAMFECORT-H,CHLORAMFECORT-H,9803,0,14500,0,2025-08-08,,2024-01-04 16:01:31,2025-09-26 15:42:11,,,,,,,,,,,,
163,2,,CIE HWA CING,CIE HWA CING,2716,0,3500,22,2029-09-01,FA092503,2024-01-04 16:01:31,2025-12-31 21:01:13,175280,163,2025-12-31 21:01:13,0,6,2025-12-31 21:01:13,2025-12-31 21:01:13,,,28,22,Perubahan Stok Manual: SO
164,6,,CINOLON-N,CINOLON-N,14890,0,17500,6,2027-11-01,FL9425,2024-01-04 16:01:31,2025-12-31 22:27:59,175426,164,2025-12-31 22:27:59,0,2,2025-12-31 22:27:59,2025-12-31 22:27:59,,,8,6,Perubahan Stok Manual: SO
165,5,,CIPROFLOXACIN 500mg,CIPROFLOXACIN 500mg,441,0,650,100,2029-07-08,250701108,2024-01-04 16:01:31,2025-12-31 23:33:00,175543,165,2025-12-31 23:33:00,120,0,2025-12-31 23:33:00,2025-12-31 23:33:00,,,0,120,Perubahan Stok Manual: SO
166,5,,OCCUSON,OCCUSON,1704,0,2100,90,2027-07-09,FG2704,2024-01-04 16:01:31,2026-01-02 02:22:33,,,,,,,,,,,,
167,2,,VITAMIN E IPI,VITAMIN E IPI,8800,0,10500,13,2027-06-06,60945,2024-01-04 16:01:31,2025-12-31 23:05:13,175460,167,2025-12-31 23:05:13,0,1,2025-12-31 23:05:13,2025-12-31 23:05:13,,,14,13,Perubahan Stok Manual: SO
168,5,,CLINDAMICIN 150mg,CLINDAMICIN 150mg,708,0,950,80,0029-12-06,56H0665,2024-01-04 16:01:31,2025-11-20 03:02:00,,,,,,,,,,,,
169,5,,CLINDAMICIN 300mg,CLINDAMICIN 300mg,1387,0,1700,20,2027-04-11,EID083,2024-01-04 16:01:31,2025-12-18 17:05:58,,,,,,,,,,,,
170,1,,COLDREXIN SYR,COLDREXIN SYR,7867,0,10000,2,2026-12-12,1612407,2024-01-04 16:01:31,2025-12-31 19:14:09,175077,170,2025-12-31 19:14:09,1,0,2025-12-31 19:14:09,2025-12-31 19:14:09,,,1,2,Perubahan Stok Manual: SO
171,1,,COLVIN SYR,COLVIN SYR,8605,0,10000,3,2028-04-04,5067021,2024-01-04 16:01:31,2025-12-31 19:15:27,175080,171,2025-12-31 19:15:27,1,0,2025-12-31 19:15:27,2025-12-31 19:15:27,,,2,3,Perubahan Stok Manual: SO
172,1,,COMBANTRIN SYR,COMBANTRIN SYR,18777,0,21500,5,2028-07-11,NA1598,2024-01-04 16:01:31,2025-12-31 19:36:27,175122,172,2025-12-31 19:36:27,0,2,2025-12-31 19:36:27,2025-12-31 19:36:27,,,8,6,Perubahan Stok Manual: SO
173,4,,COMBANTRIN TAB,COMBANTRIN TAB,17536,0,20500,6,2028-06-08,LJ9180,2024-01-04 16:01:31,2025-12-31 19:36:43,175123,173,2025-12-31 19:36:43,0,2,2025-12-31 19:36:43,2025-12-31 19:36:43,,,8,6,Perubahan Stok Manual: SO
174,2,,ANDALAN TESTPACK,,3500,0,5000,0,2026-01-07,,2024-01-04 16:01:31,2025-06-03 12:26:27,,,,,,,,,,,,
175,2,,INSTO COOL,,15101,0,17500,6,2027-07-08,2561032,2024-01-04 16:01:31,2026-01-02 00:35:22,175443,175,2025-12-31 22:35:38,0,8,2025-12-31 22:35:38,2025-12-31 22:35:38,,,10,2,Perubahan Stok Manual: SO
176,1,,KONVERMEX SYR,KONVERMEX SYR,11500,0,15000,0,0027-10-21,,2024-01-04 16:01:31,2025-09-05 20:19:38,,,,,,,,,,,,
177,1,,COOLING 5 PLUS,COOLING 5 PLUS,33966,0,39000,3,2027-09-05,271357,2024-01-04 16:01:31,2025-12-31 22:29:15,175430,177,2025-12-31 22:29:15,0,4,2025-12-31 22:29:15,2025-12-31 22:29:15,,,7,3,Perubahan Stok Manual: SO
178,2,,COOLING 5 SPRAY,COOLING 5 SPRAY,31968,0,38000,1,2027-09-06,27H307,2024-01-04 16:01:31,2025-12-27 19:14:27,,,,,,,,,,,,
179,2,,COPAL,COPAL,13597,0,16000,3,2027-01-09,2501012,2024-01-04 16:01:31,2025-12-03 00:24:03,,,,,,,,,,,,
180,1,,COPARCETIN SYR,COPARCETIN SYR,8437,0,11000,0,2028-09-11,DI3831,2024-01-04 16:01:31,2025-12-16 00:42:16,,,,,,,,,,,,
181,5,,CORTIDEX,CORTIDEX,311,0,400,10,2026-05-05,,2024-01-04 16:01:31,2025-12-31 23:27:13,175525,181,2025-12-31 23:27:13,10,0,2025-12-31 23:27:13,2025-12-31 23:27:13,,,0,10,Perubahan Stok Manual: SO
182,6,,COUNTERPAIN 120g,COUNTERPAIN 120gr,103186,0,119000,1,2028-03-02,5C5261,2024-01-04 16:01:31,2026-01-02 17:01:37,175360,182,2025-12-31 21:43:21,1,0,2025-12-31 21:43:21,2025-12-31 21:43:21,,,0,1,Perubahan Stok Manual: SO
183,6,,COUNTERPAIN 15g,COUNTERPAIN 15g,25345,0,29500,13,2028-05-06,5E9301,2024-01-04 16:01:31,2025-12-23 18:12:32,,,,,,,,,,,,
184,6,,COUNTERPAIN 30g,COUNTERPAIN 30g,40574,0,48000,2,2028-06-01,5F0231,2024-01-04 16:01:31,2025-12-31 21:43:39,175361,184,2025-12-31 21:43:39,1,0,2025-12-31 21:43:39,2025-12-31 21:43:39,,,1,2,Perubahan Stok Manual: SO
185,6,,COUNTERPAIN 5g,COUNTERPAIN 5g,8376,0,10000,5,2028-05-04,5E9291,2024-01-04 16:01:31,2025-12-31 21:43:58,175362,185,2025-12-31 21:43:58,0,2,2025-12-31 21:43:58,2025-12-31 21:43:58,,,7,5,Perubahan Stok Manual: SO
186,6,,COUNTERPAIN 60g,COUNTERPAIN 60g,68791,0,79000,2,2028-01-12,581401,2024-01-04 16:01:31,2025-09-23 21:50:57,,,,,,,,,,,,
187,5,,ESTALEX,,700,0,1000,0,2026-11-06,,2024-01-04 16:01:31,2025-10-04 23:27:27,,,,,,,,,,,,
188,2,,CTM PIM,CTM PIM,787,0,1500,21,2030-05-11,9505103,2024-01-04 16:01:31,2025-12-31 21:27:37,175337,188,2025-12-31 21:27:37,3,0,2025-12-31 21:27:37,2025-12-31 21:27:37,,,19,22,Perubahan Stok Manual: SO
189,4,,B COMP STRIP,CTM STRIP,1500,0,2500,0,2027-01-06,2501,2024-01-04 16:01:31,2025-11-24 19:46:32,,,,,,,,,,,,
190,1,,CURCUMA PLUS IMUNS,CURCUMA PLUS IMUNS,19508,0,22500,3,2027-04-12,25C0034,2024-01-04 16:01:31,2025-12-31 18:36:03,175026,190,2025-12-31 18:36:03,0,1,2025-12-31 18:36:03,2025-12-31 18:36:03,,,4,3,Perubahan Stok Manual: SO
191,1,,CURCUMA PLUS SHARPY ALL VAR,CURCUMA PLUS SHARPY ALL VAR,16766,0,19500,5,2027-08-12,25H0302,2024-01-04 16:01:31,2025-12-23 18:29:01,,,,,,,,,,,,
192,4,,CURCUMA TAB,CURCUMA TAB,12345,0,15000,10,2027-07-08,25H0055,2024-01-04 16:01:31,2025-12-31 21:15:11,175308,192,2025-12-31 21:15:11,0,4,2025-12-31 21:15:11,2025-12-31 21:15:11,,,14,10,Perubahan Stok Manual: SO
193,1,,CURVIT CL,CURVIT CL,53674,0,63000,2,2027-05-11,25C0048,2024-01-04 16:01:31,2025-12-31 18:32:02,175019,193,2025-12-31 18:32:02,1,0,2025-12-31 18:32:02,2025-12-31 18:32:02,,,1,2,Perubahan Stok Manual: SO
194,4,,CYCLOGYNON,CYCLOGYNON,7284,0,9500,2,0020-02-06,080B251A,2024-01-04 16:01:31,2026-01-02 16:22:54,175434,194,2025-12-31 22:30:49,0,3,2025-12-31 22:30:49,2025-12-31 22:30:49,,,6,3,Perubahan Stok Manual: SO
195,6,,DAKTARIN,DAKTARIN,26053,0,30000,1,2028-04-07,507271,2024-01-04 16:01:31,2026-01-01 00:43:08,,,,,,,,,,,,
196,5,,DANASONE,DANASONE,95,0,200,90,2027-05-06,NA50291,2024-01-04 16:01:31,2025-12-31 23:28:19,175530,196,2025-12-31 23:28:19,0,70,2025-12-31 23:28:19,2025-12-31 23:28:19,,,160,90,Perubahan Stok Manual: SO
197,2,,DARYANTULLE,DARYANTULLE,25237,0,30000,3,2027-02-05,5EB0377,2024-01-04 16:01:31,2025-12-16 04:14:18,,,,,,,,,,,,
198,1,,DECADRYL 120mg,DECADRYL 120mg,26889,0,31000,2,2028-09-07,5040044,2024-01-04 16:01:31,2025-12-31 19:28:33,175101,198,2025-12-31 19:28:33,0,3,2025-12-31 19:28:33,2025-12-31 19:28:33,,,5,2,Perubahan Stok Manual: SO
199,1,,DECADRYL 60mg,DECADRYL 60mg,14624,0,18000,2,2028-07-07,5041037,2024-01-04 16:01:31,2025-12-31 19:28:44,175102,199,2025-12-31 19:28:44,0,1,2025-12-31 19:28:44,2025-12-31 19:28:44,,,3,2,Perubahan Stok Manual: SO
200,4,,DECOLGEN,DECOLGEN,2048,0,3000,14,2028-02-08,5010601,2024-01-04 16:01:31,2025-12-23 23:08:45,,,,,,,,,,,,
201,4,,DECOLSIN,DECOLSIN,2670,0,3500,24,2028-02-01,25012701,2024-01-04 16:01:31,2025-12-31 22:04:17,175395,201,2025-12-31 22:04:17,3,0,2025-12-31 22:04:17,2025-12-31 22:04:17,,,22,25,Perubahan Stok Manual: SO
202,4,,DEGIROL S'10,DEGIROL S'10,12349,0,15000,1,2029-08-14,GX5A114,2024-01-04 16:01:31,2025-12-31 21:30:47,175346,202,2025-12-31 21:30:47,0,490,2025-12-31 21:30:47,2025-12-31 21:30:47,,,492,2,Perubahan Stok Manual: SO
203,1,,DEMACOLIN SYR,DEMACOLIN SYR,14874,0,19500,9,2028-09-08,25IC006,2024-01-04 16:01:31,2025-12-31 18:58:23,175054,203,2025-12-31 18:58:23,0,3,2025-12-31 18:58:23,2025-12-31 18:58:23,,,12,9,Perubahan Stok Manual: SO
204,5,,DEMACOLIN TAB,DEMACOLIN TAB,471,0,600,1040,2029-09-07,25IA015,2024-01-04 16:01:31,2026-01-03 00:53:45,,,,,,,,,,,,
205,6,,DENOMIX KRIM 10g,DENOMIX KRIM 10g,11086,0,14000,2,2027-03-08,5NC070,2024-01-04 16:01:31,2025-12-31 22:27:13,175424,205,2025-12-31 22:27:13,0,3,2025-12-31 22:27:13,2025-12-31 22:27:13,,,5,2,Perubahan Stok Manual: SO
206,1,,DETTOL LIQ 245ml,DETTOL LIQ 245ml,39201,0,61500,0,2026-03-05,,2024-01-04 16:01:31,2025-09-03 08:55:01,,,,,,,,,,,,
207,1,,DETTOL LIQ 45ml,DETTOL LIQ 45ml,10821,0,12500,2,2028-08-07,H0177M1,2024-01-04 16:01:31,2025-12-31 20:12:27,175207,207,2025-12-31 20:12:27,1,0,2025-12-31 20:12:27,2025-12-31 20:12:27,,,1,2,Perubahan Stok Manual: SO
208,1,,DETTOL LIQ 95ml,DETTOL LIQ 95ml,21906,0,25500,2,2028-09-11,J0215M1,2024-01-04 16:01:31,2025-12-31 20:12:18,175206,208,2025-12-31 20:12:18,2,0,2025-12-31 20:12:18,2025-12-31 20:12:18,,,0,2,Perubahan Stok Manual: SO
209,5,,"DEXAMETHASONE 0,5","DEXAMETHASONE 0,5",189,0,250,290,2030-11-06,5083091,2024-01-04 16:01:31,2026-01-02 18:53:26,,,,,,,,,,,,
210,5,,"DEXAMETHASONE 0,75","DEXAMETHASONE 0,75",221,0,300,170,2030-08-06,5085076,2024-01-04 16:01:31,2025-12-31 23:27:41,175527,210,2025-12-31 23:27:41,0,9,2025-12-31 23:27:41,2025-12-31 23:27:41,,,219,210,Perubahan Stok Manual: SO
211,5,,DEXANTA,DEXANTA,230,0,300,150,2029-07-06,56H0900,2024-01-04 16:01:31,2025-12-20 23:12:23,,,,,,,,,,,,
212,2,,NATUR E ADVANCE,NATUR E ADVANCE,38713,0,45000,2,2027-03-01,5ECO530,2024-01-04 16:01:31,2025-12-31 21:06:06,175289,212,2025-12-31 21:06:06,2,0,2025-12-31 21:06:06,2025-12-31 21:06:06,,,0,2,Perubahan Stok Manual: SO
213,5,,DEXTAMIN,DEXTAMIN,1712,0,2100,90,2028-06-07,6014016,2024-01-04 16:01:31,2025-12-31 23:28:45,175532,213,2025-12-31 23:28:45,0,30,2025-12-31 23:28:45,2025-12-31 23:28:45,,,120,90,Perubahan Stok Manual: SO
214,5,,DEXTEEM PLUS,DEXTEEM PLUS,295,0,400,778,2029-06-21,6250200,2024-01-04 16:01:31,2026-01-03 01:45:47,,,,,,,,,,,,
215,5,,DEXTRAL,DEXTRAL,615,0,900,200,2027-11-15,D03HN099,2024-01-04 16:01:31,2025-12-31 21:54:07,175374,215,2025-12-31 21:54:07,0,70,2025-12-31 21:54:07,2025-12-31 21:54:07,,,280,210,Perubahan Stok Manual: SO
216,5,,DEXYCOL,DEXYCOL,1200,0,1750,20,2027-08-06,,2024-01-04 16:01:31,2026-01-01 00:15:52,,,,,,,,,,,,
217,2,,DIANE,DIANE,166369,0,198000,2,2027-05-10,KTOS102,2024-01-04 16:01:31,2025-12-20 20:39:07,,,,,,,,,,,,
218,2,,MINYAK IKAN S'50,MINYAK IKAN S'50,10406,0,13000,2,2028-07-08,4903EA,2024-01-04 16:01:31,2025-10-17 00:28:51,,,,,,,,,,,,
219,4,,DIAPET NR,DIAPET NR,2932,0,4000,12,2028-02-08,24N0061,2024-01-04 16:01:31,2025-12-31 21:11:17,175299,219,2025-12-31 21:11:17,0,13,2025-12-31 21:11:17,2025-12-31 21:11:17,,,25,12,Perubahan Stok Manual: SO
220,5,,DICLOFENAC POTASIUM,DICLOFENAC POTASIUM,499,0,700,140,2027-09-07,55286,2024-01-04 16:01:31,2026-01-01 00:14:14,,,,,,,,,,,,
221,5,,DIONICOL,DIONICOL,1192,0,1500,80,2027-06-08,BS01T,2024-01-04 16:01:31,2026-01-01 00:16:06,,,,,,,,,,,,
222,1,,DIONICOL SYR,DIONICOL SYR,9111,0,12000,4,2028-05-06,SR03R,2024-01-04 16:01:31,2025-12-31 22:01:15,175390,222,2025-12-31 22:01:15,1,0,2025-12-31 22:01:15,2025-12-31 22:01:15,,,3,4,Perubahan Stok Manual: SO
223,5,,DIVOLTAR,DIVOLTAR,300,0,500,30,2027-05-05,TB53317,2024-01-04 16:01:31,2025-12-31 22:09:54,175403,223,2025-12-31 22:09:54,0,30,2025-12-31 22:09:54,2025-12-31 22:09:54,,,80,50,Perubahan Stok Manual: SO
224,2,,DERMAFIX 5X7,DERMAFIX 5X7,1435,0,3000,50,2030-09-09,1102588,2024-01-04 16:01:31,2025-12-31 20:06:43,175187,224,2025-12-31 20:06:43,1,0,2025-12-31 20:06:43,2025-12-31 20:06:43,,,49,50,Perubahan Stok Manual: SO
225,5,,DOLOLICOBION,DOLOLICOBION,542,0,700,10,2027-06-12,FRC059093,2024-01-04 16:01:31,2025-12-31 23:27:26,175526,225,2025-12-31 23:27:26,0,10,2025-12-31 23:27:26,2025-12-31 23:27:26,,,40,30,Perubahan Stok Manual: SO
226,4,,DOXYCYCLINE,DOXYCYCLINE,15000,0,20000,0,,,2024-01-04 16:01:31,2024-01-04 16:01:31,,,,,,,,,,,,
227,5,,DRAMAMIN,DRAMAMIN,1936,0,2500,41,2028-04-07,5D7341,2024-01-04 16:01:31,2025-12-31 23:28:08,175529,227,2025-12-31 23:28:08,0,20,2025-12-31 23:28:08,2025-12-31 23:28:08,,,61,41,Perubahan Stok Manual: SO
228,2,,DULCOLAX S'10,DULCOLAX S'10,17548,0,20500,5,2027-03-08,4040176,2024-01-04 16:01:31,2025-12-31 21:17:22,175312,228,2025-12-31 21:17:22,0,1,2025-12-31 21:17:22,2025-12-31 21:17:22,,,6,5,Perubahan Stok Manual: SO
229,4,,DULCOLAX S'4,DULCOLAX S'4,9227,0,11000,21,2027-06-08,40603374,2024-01-04 16:01:31,2025-12-31 23:12:12,175478,229,2025-12-31 23:12:12,0,18,2025-12-31 23:12:12,2025-12-31 23:12:12,,,39,21,Perubahan Stok Manual: SO
230,2,,DULCOLAX SUPP,DULCOLAX SUPP,20000,0,33000,2,2027-01-06,5DN009A,2024-01-04 16:01:31,2026-01-01 00:50:49,,,,,,,,,,,,
231,4,,DUMIN 500mg,DUMIN 500mg,6701,0,8000,21,2028-06-02,E23341002,2024-01-04 16:01:31,2025-12-23 00:01:18,,,,,,,,,,,,
232,1,,DUMIN SYR,DUMIN SYR,27225,0,34000,2,2029-12-01,D20331008,2024-01-04 16:01:31,2025-12-23 00:00:21,,,,,,,,,,,,
233,2,,DUREX,DUREX,19776,0,23000,0,2027-08-06,,2024-01-04 16:01:31,2025-07-04 15:05:28,,,,,,,,,,,,
